GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
8600000US06840,06840,ZCTA5 06840,179810,18964
8600000US06850,06850,ZCTA5 06850,78875,6415
8600000US06851,06851,ZCTA5 06851,86118,6639
8600000US06853,06853,ZCTA5 06853,130500,19246
8600000US06854,06854,ZCTA5 06854,59556,6632
8600000US06855,06855,ZCTA5 06855,76164,9934
8600000US06856,06856,ZCTA5 06856,-,**
8600000US06870,06870,ZCTA5 06870,190208,37774
8600000US06877,06877,ZCTA5 06877,147614,7239
8600000US06878,06878,ZCTA5 06878,164816,27533
8600000US06880,06880,ZCTA5 06880,150469,18717
8600000US06883,06883,ZCTA5 06883,208078,17150
8600000US06890,06890,ZCTA5 06890,170500,38643
8600000US06896,06896,ZCTA5 06896,122891,16514
8600000US06897,06897,ZCTA5 06897,175597,17049
8600000US06901,06901,ZCTA5 06901,55428,8750
8600000US06902,06902,ZCTA5 06902,64696,3685
8600000US06903,06903,ZCTA5 06903,180072,21754
8600000US06905,06905,ZCTA5 06905,103268,7082
8600000US06906,06906,ZCTA5 06906,68212,10821
8600000US06907,06907,ZCTA5 06907,89863,10561
